Unnamed: 0,Unnamed: 1
350,16.8544
351,16.44297
352,16.07963
353,15.7947
354,15.56457
355,15.40477
356,15.33207
357,15.31927
358,15.37657
359,15.54207
360,15.673
361,15.7383
362,15.70997
363,15.58467
364,15.3694
365,15.14217
366,14.89003
367,14.59927
368,14.38403
369,14.22223
370,14.07833
371,13.9659
372,13.8938
373,13.88157
374,13.9341
375,14.04557
376,14.07027
377,14.05253
378,14.01977
379,13.99033
380,13.93853
381,13.8269
382,13.74173
383,13.6785
384,13.61253
385,13.54877
386,13.48817
387,13.43343
388,13.38643
389,13.35197
390,13.39297
391,13.47817
392,13.5836
393,13.73123
394,13.91123
395,14.1127
396,14.29193
397,14.43073
398,14.50263
399,14.51783
400,14.47443
401,14.3675
402,14.2241
403,14.06443
404,13.94827
405,13.88257
406,13.86823
407,13.84423
408,13.8354
409,13.8564
410,13.88727
411,13.92063
412,13.94407
413,13.99707
414,14.06727
415,14.1351
416,14.2049
417,14.27507
418,14.34697
419,14.39123
420,14.40373
421,14.39383
422,14.3754
423,14.35113
424,14.29647
425,14.24223
426,14.2019
427,14.1809
428,14.18237
429,14.20817
430,14.23143
431,14.2549
432,14.27903
433,14.325
434,14.39093
435,14.4739
436,14.5729
437,14.684
438,14.8028
439,14.9277
440,15.045
441,15.12437
442,15.18237
443,15.22637
444,15.2698
445,15.30137
446,15.32493
447,15.36027
448,15.42517
449,15.51883
450,15.63037
451,15.68097
452,15.65853
453,15.58597
454,15.5189
455,15.48267
456,15.44147
457,15.40517
458,15.38047
459,15.403
460,15.43233
461,15.45203
462,15.4738
463,15.48683
464,15.4889
465,15.50917
466,15.53467
467,15.55643
468,15.5725
469,15.57707
470,15.5647
471,15.47403
472,15.40813
473,15.4471
474,15.68397
475,15.92617
476,16.02553
477,15.9435
478,15.80573
479,15.7088
480,15.66527
481,15.6461
482,15.63043
483,15.63817
484,15.6712
485,15.7312
486,15.78367
487,15.8267
488,15.85793
489,15.9152
490,15.9789
491,16.03597
492,16.1181
493,16.20627
494,16.2872
495,16.3779
496,16.46267
497,16.5303
498,16.61743
499,16.70887
500,16.79427
501,16.88183
502,16.95627
503,17.0141
504,17.08653
505,17.16097
506,17.23297
507,17.30113
508,17.3751
509,17.4577
510,17.53217
511,17.6174
512,17.71597
513,17.8161
514,17.91763
515,18.0203
516,18.12653
517,18.2273
518,18.32613
519,18.44763
520,18.5752
521,18.70653
522,18.84323
523,18.98303
524,19.12607
525,19.2739
526,19.42507
527,19.5724
528,19.70553
529,19.8486
530,20.0058
531,20.18387
532,20.33483
533,20.46807
534,20.5901
535,20.7365
536,20.89627
537,21.07327
538,21.36497
539,21.67953
540,21.9623
541,22.1319
542,22.2737
543,22.40667
544,22.5248
545,22.65747
546,22.80453
547,22.95453
548,23.11783
549,23.28563
550,23.44003
551,23.61293
552,23.78773
553,23.94797
554,24.13087
555,24.31613
556,24.4902
557,24.67593
558,24.86713
559,25.06237
560,25.2658
561,25.4577
562,25.6368
563,25.8157
564,25.99637
565,26.1685
566,26.31333
567,26.48617
568,26.6597
569,26.80603
570,26.95847
571,27.10323
572,27.23607
573,27.38393
574,27.5158
575,27.6253
576,27.72113
577,27.8198
578,27.9235
579,28.0308
580,28.13203
581,28.22623
582,28.31393
583,28.41173
584,28.51207
585,28.60537
586,28.66237
587,28.71773
588,28.77263
589,28.80533
590,28.84337
591,28.88387
592,28.91677
593,28.9534
594,28.98473
595,29.0055
596,29.0583
597,29.0862
598,29.08817
599,29.1151
600,29.15597
601,29.21187
602,29.28537
603,29.33657
604,29.37117
605,29.39243
606,29.4128
607,29.41787
608,29.41217
609,29.4232
610,29.4222
611,29.4299
612,29.47693
613,29.49457
614,29.5096
615,29.5353
616,29.5583
617,29.5627
