Unnamed: 0,Unnamed: 1
350,41.52537
351,40.62347
352,39.83023
353,39.23517
354,38.87657
355,38.73037
356,38.78037
357,39.02377
358,39.4344
359,39.95623
360,40.48667
361,40.9775
362,41.2978
363,41.3843
364,41.21847
365,40.9049
366,40.48067
367,39.97413
368,39.6129
369,39.38757
370,39.29707
371,39.26657
372,39.3074
373,39.50927
374,39.82453
375,40.23657
376,40.67897
377,41.06203
378,41.31077
379,41.60747
380,41.8698
381,41.98777
382,42.10833
383,42.2316
384,42.33343
385,42.44443
386,42.5811
387,42.80987
388,43.09203
389,43.41753
390,43.90397
391,44.46167
392,45.0199
393,45.71653
394,46.5201
395,47.38743
396,48.2991
397,49.18927
398,49.92277
399,50.54393
400,51.06523
401,51.57917
402,51.81907
403,51.79927
404,51.8794
405,52.02703
406,52.2419
407,52.44373
408,52.64883
409,52.86413
410,53.0925
411,53.32007
412,53.52807
413,53.7335
414,53.92367
415,54.0732
416,54.207
417,54.33153
418,54.46323
419,54.54393
420,54.5641
421,54.54703
422,54.45803
423,54.2853
424,54.05377
425,53.8173
426,53.6009
427,53.37423
428,53.15373
429,52.95117
430,52.7485
431,52.60633
432,52.56767
433,52.62553
434,52.78503
435,53.04883
436,53.3976
437,53.82133
438,54.30963
439,54.82
440,55.33973
441,55.85867
442,56.28197
443,56.62817
444,56.96573
445,57.25413
446,57.52067
447,57.892
448,58.38213
449,58.97903
450,59.66027
451,60.0832
452,60.20073
453,60.1415
454,60.10743
455,60.1971
456,60.32873
457,60.4132
458,60.4309
459,60.62013
460,60.8451
461,61.0563
462,61.29057
463,61.50073
464,61.6731
465,61.90083
466,62.13067
467,62.32513
468,62.48633
469,62.5843
470,62.5921
471,62.31177
472,62.09637
473,62.22533
474,63.25567
475,64.36197
476,64.91647
477,64.8206
478,64.44503
479,64.0764
480,63.87893
481,63.76443
482,63.67523
483,63.6963
484,63.7912
485,63.93227
486,64.00073
487,64.0542
488,64.1325
489,64.22677
490,64.33467
491,64.4548
492,64.62263
493,64.81087
494,64.99807
495,65.10737
496,65.23843
497,65.46343
498,65.62533
499,65.77997
500,65.9603
501,66.07577
502,66.15283
503,66.2015
504,66.2363
505,66.2658
506,66.29343
507,66.29873
508,66.32747
509,66.3886
510,66.36153
511,66.40157
512,66.51703
513,66.5447
514,66.59313
515,66.67687
516,66.77353
517,66.8139
518,66.80807
519,66.8728
520,66.96133
521,67.06367
522,67.17557
523,67.27993
524,67.38123
525,67.4942
526,67.6216
527,67.72673
528,67.75747
529,67.81927
530,67.91767
531,68.06213
532,68.12333
533,68.12553
534,68.0836
535,68.02403
536,68.0207
537,68.13437
538,68.53887
539,68.99493
540,69.3582
541,69.43797
542,69.41407
543,69.32957
544,69.1822
545,69.0708
546,69.0072
547,68.9836
548,68.96073
549,68.9358
550,68.91053
551,68.92757
552,68.953
553,68.9519
554,68.96017
555,68.9704
556,68.9804
557,69.02757
558,69.0845
559,69.14423
560,69.23537
561,69.30037
562,69.33737
563,69.3878
564,69.43583
565,69.46673
566,69.4562
567,69.4919
568,69.55733
569,69.63053
570,69.67227
571,69.69723
572,69.71357
573,69.71113
574,69.70773
575,69.70503
576,69.67997
577,69.6802
578,69.696
579,69.68843
580,69.69713
581,69.71003
582,69.71353
583,69.74633
584,69.7952
585,69.83787
586,69.79313
587,69.75447
588,69.7337
589,69.69803
590,69.66653
591,69.62923
592,69.56527
593,69.55617
594,69.55697
595,69.53647
596,69.5375
597,69.50737
598,69.45507
599,69.45427
600,69.47587
601,69.52393
602,69.60763
603,69.69453
604,69.7567
605,69.76903
606,69.72363
607,69.67727
608,69.65197
609,69.6529
610,69.62403
611,69.61483
612,69.69757
613,69.73783
614,69.75477
615,69.7618
616,69.77657
617,69.76657
618,69.74367
619,69.7446
620,69.74903
621,69.73587
622,69.68907
623,69.66097
624,69.64943
625,69.63653
626,69.56793
627,69.51283
628,69.44823
629,69.3503
630,69.28077
631,69.17377
632,69.0487
633,69.02113
634,69.01917
635,69.04913
636,69.13223
637,69.18057
638,69.21593
639,69.2466
640,69.25087
641,69.22983
642,69.1863
643,69.12387
644,69.11877
645,69.13857
646,69.1654
647,69.20053
648,69.2181
649,69.2289
650,69.2477
651,69.3117
652,69.3635
653,69.3989
654,69.46607
655,69.4993
656,69.53713
657,69.6164
658,69.6509
659,69.7041
660,69.753
661,69.73437
662,69.81683
663,69.8816
664,69.87847
665,69.92433
666,69.99443
667,70.0637
668,70.1087
669,70.10533
670,70.09743
671,70.10593
672,70.1474
673,70.18637
674,70.20107
675,70.18213
676,70.14423
677,70.13517
678,70.1409
679,70.1393
680,70.081
681,70.00943
682,69.9716
683,70.0243
684,70.0551
685,70.1155
686,70.21883
687,70.34797
688,70.41627
689,70.42263
690,70.38247
691,70.31877
692,70.2579
693,70.22137
694,70.2204
695,70.18443
696,70.1876
697,70.2161
698,70.23213
699,70.22113
700,70.22287
701,70.23577
702,70.24053
703,70.22927
704,70.25803
705,70.30633
706,70.2877
707,70.24103
708,70.26967
709,70.3483
710,70.27407
711,70.23037
712,70.26247
713,70.33253
714,70.28867
715,70.28703
716,70.2857
717,70.26763
718,70.24257
719,70.26077
720,70.2801
721,70.28533
722,70.2896
723,70.33947
724,70.3478
725,70.31013
726,70.3257
727,70.3072
728,70.31103
729,70.3425
730,70.35503
731,70.41203
732,70.4378
733,70.43067
734,70.4454
735,70.36893
