wavelength,reflectance
350,21.69887
351,21.69947
352,21.711
353,21.73773
354,21.7993
355,21.87147
356,21.9343
357,21.9552
358,21.95683
359,22.00203
360,22.0331
361,22.04933
362,22.09903
363,22.1493
364,22.1897
365,22.2571
366,22.3283
367,22.38293
368,22.41797
369,22.44007
370,22.4597
371,22.4669
372,22.46587
373,22.47857
374,22.50673
375,22.55077
376,22.58417
377,22.61587
378,22.65063
379,22.72493
380,22.8098
381,22.86837
382,22.90493
383,22.92637
384,22.94903
385,22.97607
386,23.0
387,22.9659
388,22.92617
389,22.90087
390,22.85953
391,22.81137
392,22.7623
393,22.69547
394,22.64613
395,22.65847
396,22.71887
397,22.81697
398,22.9284
399,23.04377
400,23.1659
401,23.33857
402,23.41083
403,23.36733
404,23.29787
405,23.21713
406,23.1397
407,23.07747
408,23.02977
409,22.99623
410,22.97837
411,22.96593
412,22.9434
413,22.9456
414,22.9566
415,22.94363
416,22.96963
417,23.02377
418,23.06777
419,23.11683
420,23.17083
421,23.22413
422,23.2669
423,23.29377
424,23.29577
425,23.3012
426,23.32057
427,23.32197
428,23.31077
429,23.28963
430,23.25213
431,23.20997
432,23.17213
433,23.13683
434,23.10333
435,23.06863
436,23.06547
437,23.09147
438,23.1445
439,23.18847
440,23.2283
441,23.28493
442,23.31683
443,23.32937
444,23.34717
445,23.34077
446,23.31803
447,23.33187
448,23.3728
449,23.44013
450,23.54957
451,23.59843
452,23.57007
453,23.48963
454,23.41697
455,23.37803
456,23.32517
457,23.27377
458,23.23157
459,23.22177
460,23.22473
461,23.23073
462,23.22217
463,23.23443
464,23.2777
465,23.28353
466,23.2882
467,23.31613
468,23.33613
469,23.32677
470,23.26977
471,23.15167
472,23.07293
473,23.11377
474,23.35917
475,23.60903
476,23.70953
477,23.67067
478,23.5599
479,23.4311
480,23.33903
481,23.27
482,23.2161
483,23.17763
484,23.16717
485,23.19333
486,23.18943
487,23.17807
488,23.17397
489,23.17013
490,23.1738
491,23.19013
492,23.19813
493,23.2111
494,23.2381
495,23.25673
496,23.27383
497,23.2936
498,23.31103
499,23.32893
500,23.34813
501,23.3498
502,23.34987
503,23.35203
504,23.331
505,23.31113
506,23.29957
507,23.263
508,23.2413
509,23.2456
510,23.217
511,23.1972
512,23.19253
513,23.17877
514,23.1665
515,23.158
516,23.158
517,23.14177
518,23.1116
519,23.10237
520,23.09373
521,23.08923
522,23.10707
523,23.10737
524,23.09647
525,23.09817
526,23.10227
527,23.10083
528,23.08273
529,23.07863
530,23.08663
531,23.10463
532,23.0986
533,23.07097
534,23.0226
535,22.9768
536,22.95787
537,22.98167
538,23.0728
539,23.1694
540,23.2343
541,23.2259
542,23.20027
543,23.1667
544,23.10503
545,23.0575
546,23.02463
547,22.9914
548,22.9745
549,22.9623
550,22.93077
551,22.91917
552,22.9089
553,22.881
554,22.86497
555,22.85913
556,22.86277
557,22.86157
558,22.85703
559,22.85277
560,22.8722
561,22.87993
562,22.87667
563,22.8937
564,22.8911
565,22.87643
566,22.87033
567,22.8749
568,22.8848
569,22.89383
570,22.89013
571,22.88437
572,22.8821
573,22.87473
574,22.86613
575,22.854
576,22.82067
577,22.80253
578,22.795
579,22.7738
580,22.767
581,22.76157
582,22.74383
583,22.7313
584,22.7272
585,22.72817
586,22.7015
587,22.67893
588,22.664
589,22.6453
590,22.62333
591,22.5983
592,22.57097
593,22.55227
594,22.5367
595,22.52143
596,22.52357
597,22.50753
598,22.47757
599,22.4815
600,22.4852
601,22.48783
602,22.4942
603,22.5032
604,22.5072
605,22.4999
606,22.48207
607,22.4648
608,22.45117
609,22.4385
610,22.42327
611,22.41007
612,22.40533
613,22.40367
614,22.40287
615,22.40157
616,22.403
617,22.3883
618,22.3676
619,22.3708
620,22.36677
621,22.35403
622,22.33417
623,22.3215
624,22.3082
625,22.2913
626,22.268
627,22.25047
628,22.2295
629,22.19617
630,22.16643
631,22.13217
632,22.09633
633,22.0713
634,22.06957
635,22.08377
636,22.0976
637,22.09233
638,22.08227
639,22.0756
640,22.0692
641,22.05917
642,22.04043
643,22.0054
644,21.9882
645,21.9714
646,21.95167
647,21.9441
648,21.9275
649,21.91253
650,21.90977
651,21.9005
652,21.89003
653,21.88167
654,21.88183
655,21.8637
656,21.8536
657,21.87543
658,21.86507
659,21.8529
660,21.8427
661,21.8278
662,21.83563
663,21.8331
664,21.809
665,21.81497
666,21.81543
667,21.80947
668,21.79933
669,21.77523
670,21.75463
671,21.74247
672,21.73613
673,21.72433
674,21.70967
675,21.69213
676,21.66017
677,21.64187
678,21.62913
679,21.61103
680,21.5863
681,21.55837
682,21.53613
683,21.53163
684,21.52327
685,21.51637
686,21.512
687,21.51183
688,21.49223
689,21.4732
690,21.47487
691,21.46333
692,21.45307
693,21.44043
694,21.42427
695,21.41663
696,21.4082
697,21.40177
698,21.3986
699,21.38513
700,21.37157
701,21.35823
702,21.34157
703,21.3361
704,21.3365
705,21.3353
706,21.32057
707,21.30673
708,21.30743
709,21.31387
710,21.28307
711,21.27227
712,21.27973
713,21.29007
714,21.26603
715,21.25483
716,21.24737
717,21.23897
718,21.23003
719,21.22727
720,21.2315
721,21.2382
722,21.2343
723,21.24623
724,21.2505
725,21.2439
726,21.24827
727,21.2468
728,21.241
729,21.2361
730,21.23973
731,21.23517
732,21.22777
733,21.21753
734,21.20103
735,21.1613
736,21.1516
737,21.15593
738,21.1385
739,21.1231
740,21.1148
741,21.10673
742,21.09463
743,21.13327
744,21.13467
745,21.13287
746,21.15027
747,21.13647
748,21.12747
749,21.11723
750,21.1061
751,21.1016
752,21.09897
753,21.09593
754,21.0851
755,21.0644
756,21.08273
757,21.0822
758,21.0671
759,21.05093
760,21.04813
761,21.038
762,21.03247
763,21.02417
764,21.00377
765,21.01447
766,21.02523
767,21.02647
768,21.01703
769,21.00937
770,21.00693
771,20.99697
772,20.98973
773,20.9965
774,20.97087
775,20.98023
776,20.9925
777,20.99037
778,20.976
779,20.98153
780,21.00157
781,21.0011
782,20.97137
783,20.97417
784,20.97053
785,20.95653
786,20.93903
787,20.9268
788,20.912
789,20.8978
790,20.87843
791,20.87773
792,20.91713
793,20.93637
794,20.95077
795,20.95577
796,20.9559
797,20.9565
798,20.94973
799,20.92647
800,20.9113
801,20.89877
802,20.87607
803,20.87387
804,20.87337
805,20.87403
806,20.85953
807,20.82413
808,20.7971
809,20.79583
810,20.78537
811,20.75813
812,20.7266
813,20.72407
814,20.73827
815,20.73157
816,20.7057
817,20.67543
818,20.65797
819,20.66833
820,20.64857
821,20.622
822,20.6133
823,20.6171
824,20.58223
825,20.5971
826,20.5632
827,20.5307
828,20.5027
829,20.47367
830,20.4769
831,20.43367
832,20.41277
833,20.4034
834,20.39347
835,20.38657
836,20.36477
837,20.36243
838,20.3524
839,20.3327
840,20.31723
841,20.31117
842,20.30037
843,20.2803
844,20.24447
845,20.2263
846,20.22423
847,20.20607
848,20.14177
849,20.1241
850,20.10273
851,20.102
852,20.09853
853,20.0852
854,20.0808
855,20.08417
856,20.075
857,20.07993
858,20.07753
859,20.05347
860,20.01513
861,19.98523
862,19.9723
863,19.96743
864,19.9483
865,19.93387
866,19.9062
867,19.879
868,19.87527
869,19.86157
870,19.83763
871,19.8185
872,19.81657
873,19.79977
874,19.7946
875,19.79933
876,19.77563
877,19.76817
878,19.76397
879,19.76097
880,19.74807
881,19.73543
882,19.73383
883,19.7212
884,19.689
885,19.67933
886,19.67327
887,19.66803
888,19.66683
889,19.70743
890,19.7077
891,19.68853
892,19.66823
893,19.65113
894,19.66533
895,19.679
896,19.6378
897,19.64963
898,19.59823
899,19.5804
900,19.5697
901,19.59043
902,19.59957
903,19.5664
904,19.51957
905,19.4919
906,19.5468
907,19.56293
908,19.53453
909,19.4701
910,19.48327
911,19.50827
912,19.49097
913,19.46023
914,19.43263
915,19.42723
916,19.42173
917,19.3915
918,19.4044
919,19.3981
920,19.43297
921,19.37937
922,19.35793
923,19.3879
924,19.36743
925,19.37767
926,19.3901
927,19.37943
928,19.38263
929,19.38053
930,19.3939
931,19.3988
932,19.4094
933,19.43297
934,19.4453
935,19.45973
936,19.44177
937,19.45457
938,19.44983
939,19.45527
940,19.41127
941,19.44537
942,19.48087
943,19.44913
944,19.45593
945,19.41157
946,19.42397
947,19.41317
948,19.37227
949,19.42523
950,19.33843
951,19.40503
952,19.38167
953,19.36523
954,19.33073
955,19.40117
956,19.35807
957,19.40943
958,19.43367
959,19.35473
960,19.36567
961,19.39783
962,19.3649
963,19.3378
964,19.379
965,19.28443
966,19.4447
967,19.3893
968,19.2967
969,19.3264
970,19.31383
971,19.2594
972,19.26347
973,19.22877
974,19.25273
975,19.22653
976,19.20963
977,19.29807
978,19.2708
979,19.23323
980,19.12563
981,19.06687
982,19.04077
983,18.93563
984,18.99277
985,18.86563
986,18.80307
987,18.76417
988,18.71663
989,18.6937
990,18.65973
991,18.61117
992,18.59493
993,18.5872
994,18.57093
995,18.52027
996,18.5254
997,18.52657
998,18.5238
999,18.5195
1000,18.5174
1001,18.52093
1002,18.53033
1003,18.54187
1004,18.55163
1005,18.55643
1006,18.55833
1007,18.55763
1008,18.5543
1009,18.54783
1010,18.53763
1011,18.52527
1012,18.51263
1013,18.50103
1014,18.48953
1015,18.4778
1016,18.4658
1017,18.45273
1018,18.43787
1019,18.4238
1020,18.4132
1021,18.4088
1022,18.40963
1023,18.4117
1024,18.41067
1025,18.4041
1026,18.39417
1027,18.3825
1028,18.37057
1029,18.35817
1030,18.3446
1031,18.33147
1032,18.32047
1033,18.31253
1034,18.3065
1035,18.30147
1036,18.2963
1037,18.2914
1038,18.2871
1039,18.2822
1040,18.2755
1041,18.26607
1042,18.2549
1043,18.2439
1044,18.23493
1045,18.22813
1046,18.22243
1047,18.21723
1048,18.21163
1049,18.20627
1050,18.201
1051,18.1951
1052,18.1878
1053,18.17857
1054,18.1684
1055,18.1586
1056,18.15023
1057,18.1425
1058,18.1356
1059,18.13017
1060,18.127
1061,18.127
1062,18.12813
1063,18.12807
1064,18.12477
1065,18.11887
1066,18.11203
1067,18.10573
1068,18.10133
1069,18.09803
1070,18.09533
1071,18.0927
1072,18.09027
1073,18.0884
1074,18.08633
1075,18.08313
1076,18.07777
1077,18.07047
1078,18.0631
1079,18.0576
1080,18.05577
1081,18.0566
1082,18.05717
1083,18.0546
