wavelength,reflectance
350,8.83427
351,8.7056
352,8.5931
353,8.5061
354,8.4413
355,8.39387
356,8.3607
357,8.32123
358,8.28637
359,8.28467
360,8.29623
361,8.31323
362,8.3151
363,8.2638
364,8.148
365,8.047
366,7.9496
367,7.8496
368,7.78057
369,7.73373
370,7.69913
371,7.6555
372,7.6117
373,7.62097
374,7.66257
375,7.72797
376,7.74607
377,7.74173
378,7.73083
379,7.73833
380,7.74087
381,7.70793
382,7.6614
383,7.6067
384,7.55233
385,7.50577
386,7.47053
387,7.46137
388,7.4508
389,7.43023
390,7.455
391,7.5086
392,7.58027
393,7.6389
394,7.68023
395,7.69873
396,7.70653
397,7.70377
398,7.6939
399,7.65527
400,7.58707
401,7.4975
402,7.44723
403,7.44073
404,7.42317
405,7.41347
406,7.4158
407,7.41603
408,7.4163
409,7.4173
410,7.42703
411,7.44223
412,7.45883
413,7.46907
414,7.475
415,7.4793
416,7.48593
417,7.49177
418,7.48543
419,7.49567
420,7.52123
421,7.5327
422,7.54297
423,7.55507
424,7.57087
425,7.58277
426,7.58887
427,7.61057
428,7.63097
429,7.63793
430,7.64547
431,7.64473
432,7.62953
433,7.61577
434,7.61077
435,7.62413
436,7.6535
437,7.68817
438,7.7158
439,7.7279
440,7.7287
441,7.72963
442,7.7339
443,7.74383
444,7.76387
445,7.78873
446,7.81283
447,7.8165
448,7.80617
449,7.787
450,7.77373
451,7.7695
452,7.77293
453,7.77257
454,7.7664
455,7.7553
456,7.7655
457,7.7643
458,7.74403
459,7.76783
460,7.778
461,7.75617
462,7.7563
463,7.75633
464,7.75023
465,7.76087
466,7.7793
467,7.7991
468,7.7931
469,7.7818
470,7.78013
471,7.80393
472,7.82187
473,7.8107
474,7.80923
475,7.80077
476,7.77453
477,7.78037
478,7.79207
479,7.79103
480,7.7831
481,7.77537
482,7.77373
483,7.7845
484,7.8024
485,7.82317
486,7.832
487,7.83647
488,7.8416
489,7.8453
490,7.85767
491,7.8862
492,7.9041
493,7.92097
494,7.9431
495,7.95113
496,7.9559
497,7.96533
498,7.98017
499,7.9933
500,7.99977
501,8.01197
502,8.02977
503,8.05107
504,8.0488
505,8.0565
506,8.0846
507,8.0966
508,8.1101
509,8.1299
510,8.14093
511,8.14773
512,8.1536
513,8.16647
514,8.17863
515,8.19067
516,8.21527
517,8.2259
518,8.2254
519,8.2536
520,8.27723
521,8.29367
522,8.3083
523,8.3149
524,8.32293
525,8.35687
526,8.38347
527,8.4017
528,8.4114
529,8.4295
530,8.45137
531,8.47073
532,8.4854
533,8.50383
534,8.53187
535,8.54053
536,8.55427
537,8.58237
