Unnamed: 0,Unnamed: 1
350,9.83255
351,9.7056
352,9.58122
353,9.47143
354,9.38855
355,9.32685
356,9.2796
357,9.2806
358,9.31055
359,9.31892
360,9.32377
361,9.32407
362,9.30663
363,9.26928
364,9.21142
365,9.13577
366,9.03905
367,8.9137
368,8.81297
369,8.73363
370,8.67098
371,8.62213
372,8.59478
373,8.62323
374,8.66523
375,8.70647
376,8.72547
377,8.731
378,8.72945
379,8.70255
380,8.6501
381,8.57023
382,8.50657
383,8.45227
384,8.38112
385,8.32537
386,8.28937
387,8.26843
388,8.26422
389,8.27628
390,8.30447
391,8.34973
392,8.41163
393,8.49
394,8.57345
395,8.65075
396,8.6813
397,8.67195
398,8.64883
399,8.60935
400,8.55018
401,8.44857
402,8.38352
403,8.36547
404,8.35395
405,8.35165
406,8.35588
407,8.35333
408,8.35462
409,8.36678
410,8.39525
411,8.43235
412,8.46862
413,8.49012
414,8.49983
415,8.50112
416,8.49632
417,8.48863
418,8.48352
419,8.48062
420,8.48357
421,8.505
422,8.53988
423,8.5863
424,8.63032
425,8.67597
426,8.72218
427,8.7386
428,8.74387
429,8.7515
430,8.76465
431,8.77995
432,8.79495
433,8.81013
434,8.82635
435,8.84432
436,8.8749
437,8.90295
438,8.90752
439,8.91535
440,8.93287
441,8.97032
442,9.02192
443,9.0787
444,9.12228
445,9.16415
446,9.20263
447,9.22905
448,9.22463
449,9.19098
450,9.14835
451,9.13215
452,9.14587
453,9.162
454,9.17617
455,9.18572
456,9.2077
457,9.21012
458,9.18405
459,9.17672
460,9.18017
461,9.19097
462,9.19037
463,9.19063
464,9.19563
465,9.1958
466,9.195
467,9.19557
468,9.17635
469,9.17975
470,9.23722
471,9.29123
472,9.31737
473,9.29285
474,9.15357
475,9.02428
476,8.99992
477,9.0442
478,9.10043
479,9.1237
480,9.16212
481,9.18553
482,9.17303
483,9.1928
484,9.21633
485,9.22468
486,9.24812
487,9.2716
488,9.28502
489,9.3211
490,9.35513
491,9.36957
492,9.39627
493,9.43123
494,9.47228
495,9.50033
496,9.52892
497,9.56753
498,9.59883
499,9.63692
500,9.69152
501,9.73948
502,9.78738
503,9.83668
504,9.88055
505,9.9288
506,9.98527
507,10.04703
508,10.1042
509,10.154
510,10.21592
511,10.27487
512,10.32932
513,10.39068
514,10.45395
515,10.51797
516,10.5825
517,10.64343
518,10.70372
519,10.78095
520,10.85823
521,10.93302
522,11.00703
523,11.06492
524,11.12307
525,11.22618
526,11.31032
527,11.37958
528,11.44187
529,11.51588
530,11.59585
531,11.67377
532,11.7497
533,11.82732
534,11.90942
535,12.00022
536,12.07645
537,12.12518
538,12.1444
539,12.16523
540,12.20603
541,12.28278
